"codice_1_livello","label_1_livello_en","def_1_livello_en","codice_2_livello","label_2_livello_en","def_2_livello_en","codice_3_livello","label_3_livello_en","def_3_livello_en"
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.7","Construction sites","Spaces under construction development, soil or bedrock excavations, earthworks. This class is assigned for areas where landscape is affected by human activities, changed or modified into artificial surfaces, being in a state of anthropogenic transition."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.4","Urban greenspace","Areas with vegetation within or partly embraced by urban fabric. This class is assigned for urban greenery, which usually has recreational or ornamental character and is usually accessible for the public. Includes small urban water bodies. Areas with soil sealing above 30% should be moved to class 1.1 or 1.2.","1.4.1","Parks (including Zoos and botanical gardens)","Varied green spaces within towns and cities. They may include small woods, mown lawns, small water bodies including streams (which may be semi-natural or artificial), flowerbeds and shrubberies, and semi-natural grassland or woodland enclaves. Grasslands, usually mowed, composed of native or sometimes exotic grasses, constituting elements of urban parks. Zoological and botanical gardens are included. Urban gardens (e.g. community gardens) are included."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.4","Urban greenspace","Areas with vegetation within or partly embraced by urban fabric. This class is assigned for urban greenery, which usually has recreational or ornamental character and is usually accessible for the public. Includes small urban water bodies. Areas with soil sealing above 30% should be moved to class 1.1 or 1.2.","1.4.2","Sports and recreation sites","This class is assigned for green areas used for sports, leisure and recreation purposes, for example camping grounds, sports grounds, leisure parks, golf courses, racecourses, etc. The class applies for sites larger than the MMU within and outside of urban zones. Sport sites without green (e.g., a racing track) are excluded."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.4","Urban greenspace","Areas with vegetation within or partly embraced by urban fabric. This class is assigned for urban greenery, which usually has recreational or ornamental character and is usually accessible for the public. Includes small urban water bodies. Areas with soil sealing above 30% should be moved to class 1.1 or 1.2.","1.4.3","Other urban green","Other, non-specified areas within or partly embraced by urban fabric, such as tree alleys, or green areas possibly with the presence of abandoned buildings or infrastructure."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.4","Urban greenspace","Areas with vegetation within or partly embraced by urban fabric. This class is assigned for urban greenery, which usually has recreational or ornamental character and is usually accessible for the public. Includes small urban water bodies. Areas with soil sealing above 30% should be moved to class 1.1 or 1.2.","1.4.4","Urban blue","Lakes or substantial ponds in urban parks, or water bodies in settlements used for recreation."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.5","Other artificial areas","Areas that are artificial but do not fall under the other level 2 categories of settlements and artificial areas. This includes e.g. permanent green houses, cemeteries even if predominantly green. Countries should also record here types of artificial land of specific national importance, such as archaeological sites or others, if they do not belong to any of the level 2 categories 1.1 -1.4. Countries should inform what they cover in this category in a footnote in the questionnaire.","1.5.1","Permanent Greenhouses","Permanent structures with hard or soft transparent surfaces dispersed within the urban, rural or natural environment established for the purpose of agricultural activities, small-scale commercial, artisanal or industrial activities, recreation, research, environmental protection. Excludes non-permanent installations such as film tunnels on cropland to protect crops from weather conditions."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.5","Other artificial areas","Areas that are artificial but do not fall under the other level 2 categories of settlements and artificial areas. This includes e.g. permanent green houses, cemeteries even if predominantly green. Countries should also record here types of artificial land of specific national importance, such as archaeological sites or others, if they do not belong to any of the level 2 categories 1.1 -1.4. Countries should inform what they cover in this category in a footnote in the questionnaire.","1.5.2","Cemeteries","This class includes sites designated as burial grounds, associated with church buildings or separate from them. The character of cemeteries varies substantially across Europe, for example they may have a lot of tree cover or none at all, thus more a land use than land cover/ecosystem classification. The use of this class is therefore at the discretion of countries and requires a clear meta data documentation."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.5","Other artificial areas","Areas that are artificial but do not fall under the other level 2 categories of settlements and artificial areas. This includes e.g. permanent green houses, cemeteries even if predominantly green. Countries should also record here types of artificial land of specific national importance, such as archaeological sites or others, if they do not belong to any of the level 2 categories 1.1 -1.4. Countries should inform what they cover in this category in a footnote in the questionnaire.","1.5.3","Archaeological sites","This class includes areas formally recognised as of archaeological importance. The ecological character of such sites varies substantially across Europe and within countries, for example they may have a lot of tree cover or none at all, thus more a land use than land cover/ecosystem classification. The use of this class is therefore at the discretion of countries and requires a clear meta data documentation."
"10","Marine inlets and transitional waters","Marine inlets and transitional waters are ecosystems on the land-water interface under the influence of tides and with salinity higher than 0.5 ‰. They include lagoons, estuaries and other transitional waters.","10.1","Coastal lagoons","Stretches of salt or brackish water in coastal areas which are separated from the sea by a tongue of land or other similar topography. These water bodies can be connected to the sea at limited points, either permanently or for parts of the year.","10.1.1","Coastal lagoons","Coastal brackish, saline or hypersaline lakes, ponds or pools and their pelagic vertebrates and plankton."
"10","Marine inlets and transitional waters","Marine inlets and transitional waters are ecosystems on the land-water interface under the influence of tides and with salinity higher than 0.5 ‰. They include lagoons, estuaries and other transitional waters.","10.2","Estuaries and bays","This class includes two main types: a) estuaries, i.e., the mouth of a river under tidal influence within which the tide ebbs and flows. b) bays, i.e., a coastal body of water partly enclosed by land and that directly connects to a larger main body of water, in particular a sea or ocean. Vegetation, and fauna is adapted to saline and/or brackish conditions. It is recommended to align the border between marine waters, estuaries and river mouths in agreement with Marine Strategy Framework Directive reporting.","10.2.1","Estuaries and bays","This class includes two types: a) Estuaries, i.e. the mouth of a river under tidal influence within which the tide ebbs and flows; b) Bays, i.e. coastal body of water partly enclosed by land and that directly connects to a larger main body of water, in particular a sea or ocean. In both cases the vegetation and fauna is adapted to saline and/or brackish conditions."
"10","Marine inlets and transitional waters","Marine inlets and transitional waters are ecosystems on the land-water interface under the influence of tides and with salinity higher than 0.5 ‰. They include lagoons, estuaries and other transitional waters.","10.3","Intertidal flats","Coastal zone under tidal influence between open sea and land, which is flooded by sea water regularly twice a day in a ca. 12 hours cycle. Defined by the area between the average lowest and highest sea water level at low tide and high tide. Generally non-vegetated expanses of mud, sand or rock lying between high and low water marks.","10.3.1","Intertidal flats (e.g., Wadden Sea)","Coastal zone under tidal influence between open sea and land, which is flooded by sea water regularly twice a day in a ca. 12 hours cycle. Found in the area between the average lowest and highest sea water level at low tide and high tide. Generally non-vegetated expanses of mud, sand or rock lying between high and low water marks though free-floating macrophytes may occur (e.g. Ulva, Enteromorpha etc.)."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.1","Artificial shorelines","Man-made dykes and dams, including wave breakers extending into the sea, constructed primarily to protect land from seawater.","11.1.1","Artificial shorelines","Man-made dykes and dams, including wave breakers extending into the sea, constructed primarily to protect land from seawater, but sometimes also used for roads. Deposited or dumped artificial structures in the coast may attract marine biota that would not otherwise occupy such locations. Excludes transport infrastructure on the shore such as ports and seaside promenades that should be recorded in settlements and other artificial areas."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.2","Coastal dunes, beaches and sandy and muddy shores","Natural non-vegetated expanses of sand or pebble/gravel, in coastal locations, like beaches, dunes, gravel pads, muddy shores. Including salt-influenced wetlands between rows of dunes.","11.2.1","Coastal dunes","Dunes occur in sand-covered shorelines of the oceans, their connected seas and associated coastal lagoons, fashioned by the action of wind or waves. Dunes are formed by aeolian deposits, though sometimes re-fashioned by waves. Dunes may be covered by grasses or forests, though generally there are important areas of bare soil. Vegetation is dominated by salt- and drought-tolerant species."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.2","Coastal dunes, beaches and sandy and muddy shores","Natural non-vegetated expanses of sand or pebble/gravel, in coastal locations, like beaches, dunes, gravel pads, muddy shores. Including salt-influenced wetlands between rows of dunes.","11.2.2","Beaches and sandy shores","Sandy shorelines include beaches, sand bars and spits, located just above the main waterline. These systems are affected by wave action and typically lack macrophytes, with their low productivity largely underpinned by detrital subsidies dominated by wrack (i.e. drift seaweed accumulating at the high-water mark) and phytoplankton, particularly in the surf zone of dissipative beaches. Beaches include gently sloping beaches and beach-ridges, formed by sands brought by waves, longshore drift and storm waves."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.2","Coastal dunes, beaches and sandy and muddy shores","Natural non-vegetated expanses of sand or pebble/gravel, in coastal locations, like beaches, dunes, gravel pads, muddy shores. Including salt-influenced wetlands between rows of dunes.","11.2.3","Muddy shores","Highly productive environments at and above the main waterline defined by their fine particle size (dominated by silts). Benthic diatoms are the key primary producer. Macrophytes are generally absent in the intertidal zone. Fauna are dominated by deposit-feeding taxa (consuming organic matter that accumulates in the fine-grained sediments) and detritivores feeding on wrack (i.e. drift algae deposited at the high-water mark) and other sources of macro-detritus. Bioturbating and tube-dwelling taxa are key ecosystem engineers."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.3","Rocky shores","Scree, cliffs, rock outcrops, including areas of active erosion, rocks and reef flats situated above the high-water mark up to a distance of 100 m away from the high water mark.","11.3.1","Coastal shingle","Beaches of the oceans, of their connected seas and of their associated coastal lagoons, covered by pebbles, or sometimes boulders, usually formed by wave action."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.3","Rocky shores","Scree, cliffs, rock outcrops, including areas of active erosion, rocks and reef flats situated above the high-water mark up to a distance of 100 m away from the high water mark.","11.3.2","Rock cliffs, ledges and shores","Rock exposures adjacent to the oceans, their connected seas and associated coastal lagoons, or separated from them by a narrow shoreline. The faces, ledges and caves of sea-cliffs and the expanses of rocky shore are important as reproduction, resting and feeding sites for seabirds, sea-mammals and a few groups of terrestrial birds. Sea-cliffs may also harbour highly distinctive, specialised salt-tolerant vegetation with associated terrestrial fauna."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.4","Coastal saltmarshes and salines","This class includes two main types: a) Coastal saltmarshes, which are vegetated low-lying areas in the coastal zone, mostly above the high-tide line, but always susceptible to flooding by seawater. b) Salt-pans for extraction of salt from salt water by evaporation, under active use or in process of abandonment.","11.4.1","Coastal saltmarshes","Vegetated area in the coastal zone, dominated by Angiosperms, mostly above the high-tide line but always susceptible to flooding by seawater. Often in the process of being filled in by coastal mud and sand sediments. The vegetation develops on a variety of sandy and muddy sediment types and may have admixtures of coarser material. The character of the saltmarsh communities is affected by height up the shore, resulting in a zonation pattern related to the degree or frequency of immersion in seawater."
"11","Coastal beaches, dunes and wetlands","The class coastal areas refers to land-based ecosystems close to the sea, with marine influences, such as salt spray and saline groundwater, and that may be flooded during high tide or extreme events. The class includes beaches, dunes (which may include wetland areas below the MMU in between rows of dunes) and coastal saltmarshes and salines.","11.4","Coastal saltmarshes and salines","This class includes two main types: a) Coastal saltmarshes, which are vegetated low-lying areas in the coastal zone, mostly above the high-tide line, but always susceptible to flooding by seawater. b) Salt-pans for extraction of salt from salt water by evaporation, under active use or in process of abandonment.","11.4.2","Salines","Salt-pans for extraction of salt from salt water by evaporation, active or in process of abandonment."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.1","Marine macrophyte habitats","Kelp forests, seaweeds and seagrasses.","12.1.1","Kelp forests","The shallow sublittoral seabed supports important seaweed communities where conditions are suitable in terms of substrate, water flow and turbidity. Kelp forest is found on rocky substrate of some size, e.g. boulders or bedrock. Kelp forests are important marine habitats that provide shelter to a wide range of fish and other aquatic animals. In exposed conditions the kelp is Laminaria hyperborea whilst in more sheltered habitats it is usually Laminaria saccharina; other kelp species may dominate under certain conditions."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.1","Marine macrophyte habitats","Kelp forests, seaweeds and seagrasses.","12.1.2","Coastal macrophyte beds","Areas of mixed ground which lack stable rock as anker for kelp support seaweed communities. While such sublittoral sediments may include some kelp (Laminaria saccharina), they are characterised by bootlace weed Chorda filum and various red and brown seaweeds, particularly filamentous types. The generally sheltered nature of these habitats enables the seaweeds to grow on shells and small stones which lie on the sediment surface; some communities develop as loose-lying mats on the sediment surface."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.1","Marine macrophyte habitats","Kelp forests, seaweeds and seagrasses.","12.1.3","Seagrass meadows","Beds of submerged marine angiosperms in the genera Cymodocea, Halophila, Posidonia, Ruppia, Thalassia, Zostera."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.10","Sea ice","Ice formations floating on sea water, variable in form and structure, unstable and dynamic.","12.10.1","Sea ice","Ice formations floating on sea water, usually constituting an incomplete cover, variable in form and structure, unstable and dynamic under the influence of surface air and water currents."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.2","Coral reefs","Coral reef communities developing in a range of habitats from exposed open coasts to estuaries, marine inlets and deeper offshore habitats.","12.2.1","Coral reefs","These communities develop in a range of habitats from exposed open coasts to estuaries, marine inlets and deeper offshore habitats and may be found in a variety of sediment types and salinity regimes. A major habitat type is formed by coral reefs of Lophelia pertusa; a cold water, reef-forming coral, which has a wide geographic distribution ranging from 55°S to 70°N, where water temperatures typically remain between 4-8°C. These reefs are generally subject to moderate current velocities (0.5 knots). The majority of records occur in the north-east Atlantic. The extent of L. pertusa reefs varies, with examples off Norway several km long and more than 20 m high. The Mediterranean Sea also harbours important coral reef communities."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.3","Worm reefs","Sublittoral reefs of polychaete worms in mixed sediments found in a variety of hydrographic conditions.","12.3.1","Worm reefs","Sublittoral reefs of polychaete worms in mixed sediments found in a variety of hydrographic conditions. Such habitats may range from extensive structures of considerable size to lose agglomerations of tubes. Such communities often play an important role in the structural composition or stability of the seabed and provide a wide range of niches for other species to inhabit. Consequently, polychaete worm reefs often support a diverse flora and fauna, for example Sabellaria spinosa which has gone from being widespread to red list species."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.4","Shellfish beds and reefs","Sublittoral mussel beds comprised of either the horse mussel Modiolus modiolus or the common mussel Mytilus edulis.","12.4.1","Shellfish beds and reefs","Sublittoral mussel beds comprised of either the horse mussel Modiolus modiolus or the common mussel Mytilus edulis. These communities may be sublittoral extensions of littoral reefs or exist independently. Found in a variety of habitats ranging from sheltered estuaries and marine inlets to open coasts and offshore areas they may occupy a range of substrata, although due to the stabilising effect such communities have on the substratum muddy mixed sediments are typical. A diverse range of epibiota and infauna often exists in these communities."
"12","Marine ecosystems","Marine ecosystems include all marine areas in the sea extent at low tide level or below mean sea level. This ranges from near-shore ecosystems to deep water marine ecosystems. Aligned with accounting principles, the ecosystem includes the whole water column including the seabed and the pelagic zone.","12.5","Subtidal sand beds and mud plains","Clean medium to fine sands or non-cohesive slightly muddy sands and sublittoral mud extending from the extreme lower shore to offshore habitats.","12.5.1","Subtidal sand beds and mud plains","Clean medium to fine sands or non-cohesive slightly muddy sands on open coasts, offshore or in estuaries and marine inlets. Such habitats are often subject to a degree of wave action or tidal currents which restrict the silt and clay content to less than 15%. This habitat is characterised by a range of taxa including polychaetes, bivalve molluscs and amphipod crustacea. Sublittoral mud and cohesive sandy mud extending from the extreme lower shore to offshore, circalittoral habitats. This biotope is predominantly found in sheltered harbours, sealochs, bays, marine inlets and estuaries and stable deeper/offshore areas where the reduced influence of wave action and/or tidal streams allow fine sediments to settle. Estuarine muds tend to be characterised by polychaetes and oligochaetes."
